"Echantillon";"AUC";"Espece";"Model";"Type";"blocs"
4;0,620757383479465;"A. indica";"Non";"bioclim";"Avec blocs"
5;0,80503355704698;"A. indica";"Non";"bioclim";"Avec blocs"
1;0,641826115498233;"A. indica";"Oui";"bioclim";"Avec blocs"
2;0,858201429480873;"A. indica";"Oui";"bioclim";"Avec blocs"
3;0,736723163841808;"A. indica";"Oui";"bioclim";"Avec blocs"
4;0,691405168435625;"A. indica";"Oui";"bioclim";"Avec blocs"
5;0,720654101610043;"A. indica";"Oui";"bioclim";"Avec blocs"
1;0,586374564748798;"C. pinnata";"Non";"bioclim";"Sans blocs"
2;0,542083806161476;"C. pinnata";"Non";"bioclim";"Sans blocs"
3;0,54159898861926;"C. pinnata";"Non";"bioclim";"Sans blocs"
4;0,583746234370057;"C. pinnata";"Non";"bioclim";"Sans blocs"
5;0,598403338821457;"C. pinnata";"Non";"bioclim";"Sans blocs"
1;0,608253191842149;"C. pinnata";"Oui";"bioclim";"Sans blocs"
2;0,586462404909007;"C. pinnata";"Oui";"bioclim";"Sans blocs"
3;0,586550747707068;"C. pinnata";"Oui";"bioclim";"Sans blocs"
4;0,637568262789386;"C. pinnata";"Oui";"bioclim";"Sans blocs"
5;0,612294126978049;"C. pinnata";"Oui";"bioclim";"Sans blocs"
1;0,547185437642549;"A. indica";"Non";"bioclim";"Sans blocs"
2;0,565553065533635;"A. indica";"Non";"bioclim";"Sans blocs"
3;0,5629605476219;"A. indica";"Non";"bioclim";"Sans blocs"
4;0,570687178846703;"A. indica";"Non";"bioclim";"Sans blocs"
5;0,601162253047499;"A. indica";"Non";"bioclim";"Sans blocs"
1;0,581960957757716;"A. indica";"Oui";"bioclim";"Sans blocs"
2;0,595631954609635;"A. indica";"Oui";"bioclim";"Sans blocs"
3;0,570065347298934;"A. indica";"Oui";"bioclim";"Sans blocs"
4;0,534017716956894;"A. indica";"Oui";"bioclim";"Sans blocs"
5;0,61276586801177;"A. indica";"Oui";"bioclim";"Sans blocs"
1;0,69560075506119;"C. pinnata";"Non";"domain";"Avec blocs"
2;0,647946315623023;"C. pinnata";"Non";"domain";"Avec blocs"
3;0,823650943654642;"C. pinnata";"Non";"domain";"Avec blocs"
4;0,775876832075179;"C. pinnata";"Non";"domain";"Avec blocs"
5;0,656895480293506;"C. pinnata";"Non";"domain";"Avec blocs"
1;0,804238984468037;"C. pinnata";"Oui";"domain";"Avec blocs"
2;0,71069339025933;"C. pinnata";"Oui";"domain";"Avec blocs"
3;0,664561590927767;"C. pinnata";"Oui";"domain";"Avec blocs"
4;0,693494567874733;"C. pinnata";"Oui";"domain";"Avec blocs"
5;0,681015320633858;"C. pinnata";"Oui";"domain";"Avec blocs"
1;0,881805456335798;"A. indica";"Non";"domain";"Avec blocs"
2;0,816516074425603;"A. indica";"Non";"domain";"Avec blocs"
3;0,768368127939414;"A. indica";"Non";"domain";"Avec blocs"
4;0,54633710198431;"A. indica";"Non";"domain";"Avec blocs"
5;0,604950099106305;"A. indica";"Non";"domain";"Avec blocs"
1;0,577254165620837;"A. indica";"Oui";"domain";"Avec blocs"
2;0,808605460385439;"A. indica";"Oui";"domain";"Avec blocs"
3;0,739223239372791;"A. indica";"Oui";"domain";"Avec blocs"
4;0,5851234425473;"A. indica";"Oui";"domain";"Avec blocs"
5;0,596322634488994;"A. indica";"Oui";"domain";"Avec blocs"
1;0,53594345879622;"C. pinnata";"Non";"domain";"Sans blocs"
2;0,537456394737948;"C. pinnata";"Non";"domain";"Sans blocs"
3;0,483214490682086;"C. pinnata";"Non";"domain";"Sans blocs"
4;0,531680812138053;"C. pinnata";"Non";"domain";"Sans blocs"
5;0,51706469240068;"C. pinnata";"Non";"domain";"Sans blocs"
1;0,554232299784447;"C. pinnata";"Oui";"domain";"Sans blocs"
2;0,52641673321285;"C. pinnata";"Oui";"domain";"Sans blocs"
3;0,488033167657473;"C. pinnata";"Oui";"domain";"Sans blocs"
4;0,554519443718448;"C. pinnata";"Oui";"domain";"Sans blocs"
5;0,514336584271875;"C. pinnata";"Oui";"domain";"Sans blocs"
1;0,528319067565106;"A. indica";"Non";"domain";"Sans blocs"
2;0,491156823883484;"A. indica";"Non";"domain";"Sans blocs"
3;0,524406528519016;"A. indica";"Non";"domain";"Sans blocs"
4;0,50196483371396;"A. indica";"Non";"domain";"Sans blocs"
5;0,549665825977301;"A. indica";"Non";"domain";"Sans blocs"
1;0,461473753588123;"A. indica";"Oui";"domain";"Sans blocs"
2;0,471207862136266;"A. indica";"Oui";"domain";"Sans blocs"
3;0,465236834049802;"A. indica";"Oui";"domain";"Sans blocs"
4;0,442100967028262;"A. indica";"Oui";"domain";"Sans blocs"
5;0,51963219840269;"A. indica";"Oui";"domain";"Sans blocs"
1;0,70386340773168;"C. pinnata";"Non";"GLM";"Avec blocs"
2;0,710558167787548;"C. pinnata";"Non";"GLM";"Avec blocs"
3;0,709598944904515;"C. pinnata";"Non";"GLM";"Avec blocs"
4;0,701702587327092;"C. pinnata";"Non";"GLM";"Avec blocs"
5;0,719844399615196;"C. pinnata";"Non";"GLM";"Avec blocs"
1;0,705354691075515;"C. pinnata";"Oui";"GLM";"Avec blocs"
2;0,704591324161775;"C. pinnata";"Oui";"GLM";"Avec blocs"
3;0,707955462529025;"C. pinnata";"Oui";"GLM";"Avec blocs"
4;0,694046707027975;"C. pinnata";"Oui";"GLM";"Avec blocs"
5;0,726875994655761;"C. pinnata";"Oui";"GLM";"Avec blocs"
1;0,734586223519842;"A. indica";"Non";"GLM";"Avec blocs"
2;0,715908232577854;"A. indica";"Non";"GLM";"Avec blocs"
3;0,693540617449549;"A. indica";"Non";"GLM";"Avec blocs"
4;0,69277411655064;"A. indica";"Non";"GLM";"Avec blocs"
5;0,710504724055876;"A. indica";"Non";"GLM";"Avec blocs"
1;0,719888298467708;"A. indica";"Oui";"GLM";"Avec blocs"
2;0,697786701301578;"A. indica";"Oui";"GLM";"Avec blocs"
3;0,693506085684101;"A. indica";"Oui";"GLM";"Avec blocs"
4;0,692198228903875;"A. indica";"Oui";"GLM";"Avec blocs"
5;0,700447968182499;"A. indica";"Oui";"GLM";"Avec blocs"
1;0,509423266940559;"C. pinnata";"Non";"GLM";"Sans blocs"
2;0,532092755097848;"C. pinnata";"Non";"GLM";"Sans blocs"
3;0,520977733049837;"C. pinnata";"Non";"GLM";"Sans blocs"
4;0,506136810887312;"C. pinnata";"Non";"GLM";"Sans blocs"
5;0,520303988002666;"C. pinnata";"Non";"GLM";"Sans blocs"
1;0,517627103798813;"C. pinnata";"Oui";"GLM";"Sans blocs"
2;0,529344169702536;"C. pinnata";"Oui";"GLM";"Sans blocs"
3;0,518432954406552;"C. pinnata";"Oui";"GLM";"Sans blocs"
4;0,514807447178553;"C. pinnata";"Oui";"GLM";"Sans blocs"
5;0,51893595867585;"C. pinnata";"Oui";"GLM";"Sans blocs"
1;0,504771846473156;"A. indica";"Non";"GLM";"Sans blocs"
2;0,500417761122803;"A. indica";"Non";"GLM";"Sans blocs"
3;0,506027635674864;"A. indica";"Non";"GLM";"Sans blocs"
4;0,513271187926105;"A. indica";"Non";"GLM";"Sans blocs"
5;0,508872182630588;"A. indica";"Non";"GLM";"Sans blocs"
1;0,504003390094382;"A. indica";"Oui";"GLM";"Sans blocs"
2;0,499180945516496;"A. indica";"Oui";"GLM";"Sans blocs"
